AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
8937499,"2025-03-28 23:49:26","2025-03-28 23:49:26",A29AD9,"United States","United States",N267V,,,,,,Canadair,CL2P,"Canadair CL-215 -V",1103,,,,,,"Aero Flite",,,1987,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CL2P
8937052,"2025-03-28 23:25:08","2025-03-28 23:25:08",A35B37,"United States","United States",N315US,,,,,,Airbus,A320,"Airbus A320 211",171,,,,,,"Delta Air Lines",,,1990,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-A320
8936889,"2025-03-28 23:15:20","2025-03-28 23:15:20",A8393E,"United States","United States",N629SB,,,,,,Vans,RV8,"Vans RV-8",82437,,,,,,Private,,,2015,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-RV8
11102,"2021-11-08 16:26:52","2025-03-28 23:09:15",C87EE8,"New Zealand","New Zealand",,,,,,,,ZZZZ,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,GEN-ZZZZ
8936443,"2025-03-28 22:47:45","2025-03-28 22:47:45",A3AAF5,"United States","United States",N3351Z,,,,,,Piper,PA22,"Piper PA-22 150 Tri-Pacer",22-7291,,,,,,Private,,,1960,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA22
8936076,"2025-03-28 22:28:34","2025-03-28 22:28:34",AA6B46,"United States","United States",N770Z,,,,,,"Raven Aerostar",BALL,"Raven Aerostar S-55A Hot Air Balloon",S55A-340,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BALL
8935848,"2025-03-28 22:15:10","2025-03-28 22:15:10",A68599,"United States","United States",N51924,,,,,,Fairchild,FA62,"Fairchild PT-19A M-62A",T42-3965,,,,,,Private,,,1942,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-FA62
27212,"2022-05-18 03:27:49","2025-03-28 21:44:23",48425C,Netherlands,Netherlands,,,,,,,,-GND,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,GEN--GND
8934700,"2025-03-28 21:11:21","2025-03-28 21:11:21",4032C3,"United Kingdom","United Kingdom",G-MWMY,,,,,,"Mainair Sports",ULAC,"Mainair Sports Gemini Flash IIA",809-1090-7-W602,,,,,,Private,,,1990,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
8934218,"2025-03-28 20:51:16","2025-03-28 20:51:16",3914A8,France,France,F-GFFI,,,,,,Cameron,BALL,"Cameron A-140 Hot Air Balloon",1561,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BALL
8933918,"2025-03-28 20:37:14","2025-03-28 20:37:14",A9B242,"United States","United States",N72388,,,,,,Cessna,C120,"Cessna 120",9574,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C120
8932403,"2025-03-28 19:24:44","2025-03-28 19:24:44",ADD641,"United States","United States",N9909L,,,,,,"American Aviation",AA1,"American Aviation AA-1B",AA1B-0209,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-AA1
8931839,"2025-03-28 19:07:20","2025-03-28 19:07:20",A0B537,"United States","United States",N1449Z,,,,,,Piaggio,P136,"Piaggio P.136 L-2",240,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P136
8931822,"2025-03-28 19:07:08","2025-03-28 19:07:08",AD8E98,"United States","United States",N9728W,,,,,,Piper,P28A,"Piper PA-28 140 Cherokee",28-23206,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
8931750,"2025-03-28 18:53:22","2025-03-28 18:53:22",A6D1F8,"United States","United States",N539BC,,,,,,Boeing,B744,"Boeing 747 4B5BCF",26395,,,,,,"Kalitta Air",,,1992,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,CKS
509766,"2023-05-23 01:48:05","2025-03-28 18:42:09",344043,Spain,Spain,,,,,,,,ZANT,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,ZANT
8931034,"2025-03-28 18:19:33","2025-03-28 18:19:33",5113B7,Estonia,Estonia,"",,,,,,"",-GND,"Ground Vehicle",,,,,,,"Tallinn Airport",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN--GND
8929802,"2025-03-28 17:21:54","2025-03-28 17:21:54",403146,"United Kingdom","United Kingdom",G-BSFA,,,,,,"Aero Designs",PULS,"Aero Designs Pulsar","PFA 202-11754",,,,,,Private,,,1992,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PULS
8929273,"2025-03-28 17:06:36","2025-03-28 17:06:36",AB180B,"United States","United States",N81381,,,,,,Fairchild,FA24,"Fairchild F.24 W-46",W46-281,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-FA24
8929051,"2025-03-28 16:46:54","2025-03-28 16:46:54",C01F60,Canada,Canada,C-FLWX,,,,,,Cessna,C650,"Cessna Citation VII",650-7055,,,,,,"Private Air",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C650
8928894,"2025-03-28 16:39:20","2025-03-28 16:39:20",84BA88,Japan,Japan,JA21YA,,,,,,"MBB Kawasaki",BK17,"MBB Kawasaki BK.117 C-1",1124,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BK17
8928808,"2025-03-28 16:35:35","2025-03-28 16:35:35",A4652B,"United States","United States",N38202,,,,,,Piper,J3,"Piper J-3 C-65 Cub",6852,,,,,,Private,,,1941,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-J3
8928542,"2025-03-28 16:23:28","2025-03-28 16:23:28",AD812A,"United States","United States",N9699B,,,,,,Cessna,C180,"Cessna 180A",32996,,,,,,Private,,,1957,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C180
8928407,"2025-03-28 16:18:13","2025-03-28 16:18:13",A221B0,"United States","United States",N2364B,,,,,,Robinson,R22,"Robinson R22 Beta",2362,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-R22
8927273,"2025-03-28 15:24:44","2025-03-28 15:24:44",A08528,"United States","United States",N1321P,,,,,,Piper,PA23,"Piper PA-23 Apache 150",23-363,,,,,,Private,,,1955,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA23
8926332,"2025-03-28 14:42:41","2025-03-28 14:42:41",43C13F,"United Kingdom","United Kingdom",ZE116,,,,,,Panavia,TOR,"Panavia Tornado GR.4",BS160,,,,,,"Royal Air Force",,,1986,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
29219,"2022-08-30 09:24:20","2025-03-28 14:06:55",000005,"Not Allocated","Not Allocated",,,,,,,,UAV,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,GEN-UAV
8925332,"2025-03-28 13:54:42","2025-03-28 13:54:42",A64EFD,"United States","United States",N50509,,,,,,Bellanca,CH7B,"Bellanca Citabria 7GCBC",1143-79,,,,,,Private,,,1979,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CH7B
8925310,"2025-03-28 13:53:26","2025-03-28 13:53:26",462804,Finland,Finland,OH-PEA,,,,,,Piper,P28R,"Piper PA-28R 201 Arrow III",28R-7737036,,,,,,Private,,,1977,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28R
8924789,"2025-03-28 13:28:55","2025-03-28 13:28:55",A52A0E,"United States","United States",N4316Q,,,,,,"Amateur Built",BALL,"Amateur Built S-60A Hot Air Balloon",WCB1,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BALL
8924512,"2025-03-28 13:14:54","2025-03-28 13:14:54",AC52BA,"United States","United States",N893ZB,,,,,,Bell,B505,"Bell 505 Jet Ranger X",65295,,,,,,Private,,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B505
8924117,"2025-03-28 12:55:56","2025-03-28 12:55:56",C07092,Canada,Canada,C-GQQJ,,,,,,"De Havilland Canada",DHC2,"De Havilland Canada DHC-2 Beaver U-6A",719,,,,,,"Voyage Air",,,1954,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-DHC2
8923772,"2025-03-28 12:40:34","2025-03-28 12:40:34",A514FC,"United States","United States",N4265M,,,,,,Eiri-Avion,PK20,"Eiri-Avion PIK-20 E",20264,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PK20
8923483,"2025-03-28 12:27:34","2025-03-28 12:27:34",AB2337,"United States","United States",N81688,,,,,,Aeronca,CH7A,"Aeronca Champion 7AC",7AC-307,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CH7A
8923373,"2025-03-28 12:21:58","2025-03-28 12:21:58",A1D2A4,"United States","United States",N2163Y,,,,,,Rotorway,EXEC,"Rotorway Exec 162F",2959,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-EXEC
8923242,"2025-03-28 12:15:36","2025-03-28 12:15:36",A44CF8,"United States","United States",N37639,,,,,,Schreder,GLID,"Schreder HP-14 T",14-79,,,,,,Private,,,1982,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-GLID
8923229,"2025-03-28 12:15:03","2025-03-28 12:15:03",A71811,"United States","United States",N5560D,,,,,,Beech,BE35,"Beech Bonanza H35",D-5139,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE35
8922923,"2025-03-28 12:06:45","2025-03-28 12:06:45",A5266D,"United States","United States",N4307B,,,,,,ICA-Brasov,IS28,"ICA-Brasov IS-28 B2",116,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-IS28
8922859,"2025-03-28 12:06:30","2025-03-28 12:06:30",A61B10,"United States","United States",N49281,,,,,,Cessna,C152,"Cessna 152",15281221,,,,,,Private,,,1977,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C152
8922784,"2025-03-28 11:53:22","2025-03-28 11:53:22",154E84,Russia,Russia,RA-85636,,,,,,Tupolev,T154,"Tupolev Tu-154 M",87A766,,,,,,"Ulyanovsk Higher Aviation School",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-T154
8922480,"2025-03-28 11:40:31","2025-03-28 11:40:31",A628EA,"United States","United States",N4961N,,,,,,Boeing,ST75,"Boeing Stearman A75N1 PT-17 Kaydet",75-6983,,,,,,Private,,,1942,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ST75
8922171,"2025-03-28 11:26:31","2025-03-28 11:26:31",A6A550,"United States","United States",N5270J,,,,,,"Textron Aviation",C25B,"Textron Aviation Citation CJ3",525B0584,,,,,,"Textron Aviation Inc",,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C25B
534005,"2023-07-05 21:04:24","2025-03-28 11:08:41",424AF3,"United Kingdom","United Kingdom",,,,,,,,ZZZZ,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,TEST
8921799,"2025-03-28 11:08:00","2025-03-28 11:08:00",A6DAAD,"United States","United States",N5403,,,,,,Bell,B06,"Bell TH-67A Creek",5301,,,,,,"United States Army",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
8921471,"2025-03-28 10:52:49","2025-03-28 10:52:49",A7E7AA,"United States","United States",N6082W,,,,,,Piper,P28A,"Piper PA-28 140 Cherokee",28-20096,,,,,,Private,,,1964,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
8921079,"2025-03-28 10:36:03","2025-03-28 10:36:03",A5760A,"United States","United States",N451CE,,,,,,Douglas,DC6,"Douglas C-118 B",43712,,,,,,"Everts Air Cargo",,,1953,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,VTS
